
Note: Compatibility modes selected: hs a

Warning: m=xx on .subckt line will override multiplier m hierarchy!


Circuit: ** sch_path: /fs1/eecg/tcc/lizongh2/sky130_comparator/xschem/double_tail_comp_pex_tb.sch

option SCALE: Scale is set to 1e-06 for instance and model parameters
Reducing trtol to 1 for xspice 'A' devices
Doing analysis at TEMP = 27.000000 and TNOM = 27.000000


Initial Transient Solution
--------------------------

Node                                   Voltage
----                                   -------
x1.vss.t36                         4.84886e-12
x1.clk.t0                                    0
x1.a_88_n1613.t11                     0.692694
x1.vss.t35                         8.88685e-05
x1.a_88_n1613.t7                      0.692694
x1.clk.t1                                    0
x1.vss.t34                          4.8345e-12
x1.vss.t33                         8.88685e-05
x1.a_88_n1613.t12                     0.692694
x1.clk.t2                                    0
x1.vss.t32                         6.57354e-05
x1.vss.t31                         8.88632e-05
x1.vout_p.t3                         0.0724047
x1.di_n.t12                            1.79976
x1.vss.t7                            0.0090045
x1.vss.t6                          8.88525e-05
x1.vout_p.t2                         0.0726328
x1.di_n.t13                            1.79976
x1.vss.t38                           0.0141463
x1.vss.t37                         8.88602e-05
x1.a_88_n1613.t3                      0.692694
x1.vin_p.t0                           0.950896
x1.di_n.t2                             1.79976
x1.vss.t3                          8.88525e-05
x1.a_88_n1613.t28                     0.692694
x1.vin_n.t0                           0.900896
x1.di_p.t11                            1.79976
x1.vss.t20                          8.8867e-05
x1.vout_p.t6                         0.0872867
x1.vout_n.t8                         0.0877571
x1.vss.t49                         1.66727e-05
x1.vss.t48                         8.88681e-05
x1.a_88_n1613.t9                      0.692694
x1.clk.t3                                    0
x1.vss.t30                         3.38132e-05
x1.vss.t29                         8.88671e-05
x1.di_p.t10                            1.79976
x1.vin_n.t1                           0.900896
x1.a_88_n1613.t20                     0.692694
x1.vss.t44                           8.886e-05
x1.vss.t11                         1.66727e-05
x1.vout_p.t8                         0.0877549
x1.vout_n.t3                          0.087287
x1.vss.t10                          8.8868e-05
x1.vdd.t34                             1.78621
x1.clk_bar.t0                                0
x1.latch.inv0.vdd                      1.70648
x1.vdd.t33                             1.79973
x1.a_88_n1613.t5                      0.692694
x1.clk.t4                                    0
x1.vss.t28                          4.8345e-12
x1.vss.t27                         8.88684e-05
x1.vout_p.t9                         0.0877549
x1.vout_n.t1                          0.169248
x1.vdd.t1                              1.79973
x1.a_88_n1613.t21                     0.692694
x1.vin_p.t1                           0.950896
x1.di_n.t7                             1.79976
x1.vss.t16                         8.88655e-05
x1.vdd.t32                             1.78623
x1.clk_bar.t1                                0
x1.vdd.t31                             1.79973
x1.vss.t9                             0.014187
x1.di_n.t14                            1.79976
x1.vout_p.t1                         0.0726474
x1.vss.t8                          8.88566e-05
x1.di_p.t9                             1.79976
x1.vin_n.t2                           0.900896
x1.a_88_n1613.t2                      0.692694
x1.vss.t2                           8.8868e-05
x1.clk_bar.t2                                0
x1.vdd.t30                             1.79178
x1.vdd.t29                             1.79973
x1.clk_bar.t3                                0
x1.vdd.t28                             1.78625
x1.vdd.t27                             1.79973
x1.vss.t26                         6.57355e-05
x1.clk.t5                                    0
x1.a_88_n1613.t13                     0.692694
x1.vss.t25                          8.8863e-05
x1.vss.t53                          0.00902038
x1.di_n.t15                            1.79976
x1.vout_p.t0                         0.0724763
x1.vss.t52                         8.88631e-05
x1.di_p.t8                             1.79976
x1.vin_n.t3                           0.900896
x1.a_88_n1613.t23                     0.692694
x1.vss.t50                         8.88435e-05
x1.vdd.t11                             1.79976
x1.clk.t6                                    0
x1.di_p.t0                             1.79976
x1.vdd.t10                             1.79976
x1.clk_bar.t4                                0
x1.vdd.t26                             1.78623
x1.vdd.t25                             1.79973
x1.vss.t24                         4.84886e-12
x1.clk.t7                                    0
x1.a_88_n1613.t16                     0.692694
x1.vss.t23                         8.88684e-05
x1.a_88_n1613.t10                     0.692694
x1.clk.t8                                    0
x1.vss.t22                          4.8345e-12
x1.di_n.t9                             1.79976
x1.vin_p.t2                           0.950896
x1.a_88_n1613.t26                     0.692694
x1.vss.t56                         8.88413e-05
x1.di_n.t6                             1.79976
x1.vin_p.t3                           0.950896
