
Note: Compatibility modes selected: hs a

Warning: m=xx on .subckt line will override multiplier m hierarchy!


Circuit: ** sch_path: /fs1/eecg/tcc/lizongh2/sky130_comparator/xschem/strong_arm_comp_pex_tb.sch

option SCALE: Scale is set to 1e-06 for instance and model parameters
Reducing trtol to 1 for xspice 'A' devices
Doing analysis at TEMP = 27.000000 and TNOM = 27.000000


Initial Transient Solution
--------------------------

Node                                   Voltage
----                                   -------
net15                                      1.8
net14                             -8.31498e-13
vclk                                         0
vcm                                   0.913176
net2                                  0.963176
q_bar                              1.21624e-06
q                                  4.56056e-07
net1                                       1.8
x1.vdd.t25                                 1.8
x1.clk.t0                                    0
x1.di_p.t10                                1.8
x1.vdd.t24                                 1.8
x1.a_88_1445.t32                      0.704365
x1.vin_p.t0                           0.963176
x1.di_n.t10                                1.8
x1.vss.t39                         2.75834e-08
x1.di_n.t4                                 1.8
x1.clk.t1                                    0
x1.vdd.t23                                 1.8
x1.vdd.t22                                 1.8
x1.di_n.t6                                 1.8
x1.vin_p.t1                           0.963176
x1.a_88_1445.t31                      0.704365
x1.vss.t38                         1.57445e-08
x1.a_88_1445.t20                      0.704365
x1.vin_n.t0                           0.913176
x1.di_p.t14                                1.8
x1.vss.t31                         3.28543e-08
x1.a_88_1445.t11                      0.704365
x1.clk.t2                                    0
x1.vss.t30                         1.42521e-11
x1.vss.t6                          4.53339e-08
x1.di_p.t6                                 1.8
x1.vin_n.t1                           0.913176
x1.a_88_1445.t5                       0.704365
x1.di_n.t3                                 1.8
x1.clk.t3                                    0
x1.vdd.t21                                 1.8
x1.vdd.t20                                 1.8
x1.di_n.t5                                 1.8
x1.vin_p.t2                           0.963176
x1.a_88_1445.t30                      0.704365
x1.vss.t37                         1.53944e-08
x1.a_88_1445.t34                      0.704365
x1.vin_n.t2                           0.913176
x1.di_p.t16                                1.8
x1.vss.t40                         2.19645e-08
x1.di_p.t11                                1.8
x1.clk.t4                                    0
x1.vdd.t19                                 1.8
x1.vdd.t18                                 1.8
x1.a_88_1445.t29                      0.704365
x1.vin_p.t3                           0.963176
x1.di_n.t14                                1.8
x1.vss.t12                         4.53111e-08
x1.vdd.t27                                 1.8
x1.vout_p.t6                               1.8
x1.vout_n.t5                               1.8
x1.vdd.t26                                 1.8
x1.di_p.t12                                1.8
x1.clk.t5                                    0
x1.vdd.t17                                 1.8
x1.vdd.t16                                 1.8
x1.di_n.t0                                 1.8
x1.vout_p.t7                               1.8
x1.vout_n.t3                               1.8
x1.vss.t9                          4.98944e-08
x1.di_n.t13                                1.8
x1.vin_p.t4                           0.963176
x1.a_88_1445.t28                      0.704365
x1.vss.t36                         2.19273e-08
x1.a_88_1445.t27                      0.704365
x1.vin_p.t5                           0.963176
x1.di_n.t12                                1.8
x1.a_88_1445.t35                      0.704365
x1.vin_n.t3                           0.913176
x1.di_p.t17                                1.8
x1.vss.t41                         1.53952e-08
x1.vout_n.t1                               1.8
x1.clk.t6                                    0
x1.vdd.t15                                 1.8
x1.vdd.t14                                 1.8
x1.vout_p.t3                               1.8
x1.clk.t7                                    0
x1.vdd.t13                                 1.8
x1.vdd.t12                                 1.8
x1.vdd.t31                                 1.8
x1.vout_n.t6                               1.8
x1.vout_p.t5                               1.8
x1.vdd.t30                                 1.8
x1.di_p.t3                                 1.8
x1.vout_n.t7                               1.8
x1.vout_p.t0                               1.8
x1.vss.t3                          4.82874e-08
x1.di_n.t11                                1.8
x1.vin_p.t6                           0.963176
x1.a_88_1445.t26                      0.704365
x1.vss.t35                         3.28229e-08
x1.a_88_1445.t14                      0.704365
x1.clk.t8                                    0
x1.vss.t29                         6.10802e-12
x1.vss.t28                         5.03153e-08
x1.a_88_1445.t18                      0.704365
x1.clk.t9                                    0
x1.vss.t27                         1.03815e-11
x1.vss.t5                          4.99016e-08
x1.di_n.t8                                 1.8
x1.vin_p.t7                           0.963176
x1.a_88_1445.t25                      0.704365
x1.vss.t21                         4.17487e-08
x1.di_p.t8                                 1.8
x1.vin_n.t4                           0.913176
x1.a_88_1445.t6                       0.704365
x1.vss.t8                          2.76177e-08
x1.vdd.t11                                 1.8
x1.clk.t10                                   0
x1.di_p.t13                                1.8
x1.vdd.t10                                 1.8
x1.vout_n.t2                               1.8
x1.vout_p.t8                               1.8
x1.di_n.t17                                1.8
x1.vss.t19                          4.8288e-08
x1.di_p.t9                                 1.8
x1.vin_n.t5                           0.913176
x1.a_88_1445.t7                       0.704365
x1.vss.t10                         1.74282e-08
x1.vout_n.t4                               1.8
x1.vout_p.t9                               1.8
x1.vdd.t1                                  1.8
x1.vdd.t0                                  1.8
x1.di_n.t7                                 1.8
x1.vin_p.t8                           0.963176
x1.a_88_1445.t24                      0.704365
x1.vout_p.t1                               1.8
x1.vout_n.t8                               1.8
